(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer (Buy Box) Percentage,Featured Offer (Buy Box) Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B0FH6R5YTH,B0FC68NMQ2,"NewEleven Farewell Gifts For Coworkers - Coworker Leaving Gifts For Women, Goodbye Gift Card, Going Away Gift For Colleague, Work Bestie - Greeting Card",UO-G2CF-RBYF,22,2,0.43%,2.86%,26,4,0.38%,4.49%,100.00%,100.00%,2,0,9.09%,0.00%,$11.98,$0.00,2,0
B0FH6R5YTH,B0FC6CNPQK,"NewEleven Thank You Cards - Teacher Appreciation Gifts, Thanks You Present For Friend, Teacher, Boss - Thank You Gifts For Women, Men From Bestie, Family, Colleague - Greeting Card",4R-QNTR-6X4P,28,1,0.54%,1.43%,32,1,0.47%,1.12%,100.00%,100.00%,2,0,7.14%,0.00%,$9.98,$0.00,2,0
B0995JRMHP,B0995JRMHP,Neweleven Replacement Lid For 20 Oz NewEleven Tumbler - Pack of 2 lids,O1-FU7J-W72I,2,0,0.04%,0.00%,2,0,0.03%,0.00%,100.00%,0.00%,1,0,50.00%,0.00%,$9.98,$0.00,1,0
B0FJDY1LNS,B0B9RLH8RV,"NewEleven Retirement Gifts For Women 2024 - Happy Retirement Gift - Coworker Leaving, Farewell, Goodbye Gifts For Coworkers, Friends - 12 Oz Tumbler",HB-YPM1-SCJA,7,0,0.14%,0.00%,8,0,0.12%,0.00%,100.00%,0.00%,1,0,14.29%,0.00%,$22.98,$0.00,1,0
B0DM95S8ZK,B0BRCG7S9H,"NewEleven Gifts For Dog Lovers, Dogs Owners, Dog Moms, Fur Mama - Dog Mom Gifts For Women - Cute Funny Gift For Women, Best Friend, Girlfriend - 16 Oz Coffee Glass",2R-X9LF-IOEW,10,0,0.19%,0.00%,10,0,0.15%,0.00%,100.00%,0.00%,1,0,10.00%,0.00%,$9.99,$0.00,1,0
B0DM95S8ZK,B0BRCJ5VYH,"NewEleven Gifts For Cat Mom, Cats Lover - Cat Gifts For Women - Cute Kitten Stuff, Cats Themed Gift For Women - Cute Funny Gift For Her, Best Friend - 16 Oz Coffee Glass",CZ-V369-AMB3,10,0,0.19%,0.00%,12,0,0.18%,0.00%,100.00%,0.00%,1,0,10.00%,0.00%,$9.99,$0.00,1,0
B0FGDHKH6G,B0C1BS7BV8,"NewEleven Cute Glass Coffee Cups With Lids And Straw – Aesthetic Cups – Iced Coffee Cup, Coffees Tumbler – Galentines Gifts For Women, Coffees Lover - 16 Oz Coffee Glass",8N-VAIO-VFH3,9,0,0.17%,0.00%,10,0,0.15%,0.00%,100.00%,0.00%,1,0,11.11%,0.00%,$14.98,$0.00,1,0
B0FGDHKH6G,B0CBJQZCFY,"NewEleven Gifts For Friends, Bestie – Work Bestie Presents For Women Friends - Appreciation Gifts For Coworkers, Unique Present Ideas For Coworker Leaving, Farewell Party – 16 Oz Coffee Glass",2D-H3QH-UR6F,11,0,0.21%,0.00%,11,0,0.16%,0.00%,100.00%,0.00%,1,0,9.09%,0.00%,$14.98,$0.00,1,0
B0D6Y54MJD,B0CCDLWRTD,"NewEleven Gifts For Book Lovers - Book Lovers Gifts For Women, Her, Friends - Book Accessories, Bookish Gifts For Writers, Readers, Librarian, Bookaholic, Bookworm – 16 Oz Coffee Glass",68-JFET-D7YN,11,1,0.21%,1.43%,13,1,0.19%,1.12%,100.00%,100.00%,1,0,9.09%,0.00%,$13.98,$0.00,1,0
B0F9W75LLW,B0CG8NHNWF,"NewEleven Gifts For Mom, Wife - Gifts For Mom From Daughter, Son, Kids - Unique Birthday Present Ideas For Mother, Wife, New Mama From Daughter, Son, Husband - 20 Oz Tumbler",2F-5232-03M8,4,0,0.08%,0.00%,6,0,0.09%,0.00%,83.33%,0.00%,1,0,25.00%,0.00%,$19.98,$0.00,1,0
